rank,amc_name,average_aum_cr,market_share_pct,period_start,period_end
1,SBI,1248003.006700,15.305471,2026-01-01,2026-03-31
2,ICICI Prudential,1103751.318200,13.536373,2026-01-01,2026-03-31
3,HDFC,927451.268400,11.374234,2026-01-01,2026-03-31
4,Nippon India,724965.139200,8.890951,2026-01-01,2026-03-31
5,Kotak Mahindra,580950.239800,7.124756,2026-01-01,2026-03-31
6,Aditya Birla Sun Life,435865.958900,5.345447,2026-01-01,2026-03-31
7,UTI,388469.814200,4.764182,2026-01-01,2026-03-31
8,Axis,359601.247800,4.410139,2026-01-01,2026-03-31
9,Tata,227511.983700,2.790200,2026-01-01,2026-03-31
10,DSP,225399.629400,2.764294,2026-01-01,2026-03-31
11,Mirae Asset,221354.559100,2.714686,2026-01-01,2026-03-31
12,Bandhan,195325.089700,2.395461,2026-01-01,2026-03-31
13,Edelweiss,165670.206800,2.031774,2026-01-01,2026-03-31
14,PPFAS,152328.161300,1.868148,2026-01-01,2026-03-31
15,Invesco,140647.770800,1.724900,2026-01-01,2026-03-31
16,HSBC,136057.854100,1.668609,2026-01-01,2026-03-31
17,Motilal Oswal,131741.948200,1.615679,2026-01-01,2026-03-31
18,Franklin Templeton,123574.207700,1.515510,2026-01-01,2026-03-31
19,Canara Robeco,117482.938500,1.440807,2026-01-01,2026-03-31
20,quant,88362.538700,1.083676,2026-01-01,2026-03-31
21,Sundaram,74882.967100,0.918362,2026-01-01,2026-03-31
22,Baroda BNP Paribas,54607.954000,0.669710,2026-01-01,2026-03-31
23,LIC,46461.192400,0.569799,2026-01-01,2026-03-31
24,Mahindra Manulife,33126.680600,0.406265,2026-01-01,2026-03-31
25,WhiteOak Capital,33023.592200,0.405000,2026-01-01,2026-03-31
26,Bajaj Finserv,30626.567400,0.375603,2026-01-01,2026-03-31
27,PGIM India,26401.186500,0.323783,2026-01-01,2026-03-31
28,Union,26194.055600,0.321243,2026-01-01,2026-03-31
29,Jio BlackRock,16711.522700,0.204950,2026-01-01,2026-03-31
30,Bank of India,14170.872700,0.173791,2026-01-01,2026-03-31
31,Zerodha,13793.008100,0.169157,2026-01-01,2026-03-31
32,JM Financial,13219.242600,0.162120,2026-01-01,2026-03-31
33,360 ONE,13193.878700,0.161809,2026-01-01,2026-03-31
34,ITI,10825.144100,0.132759,2026-01-01,2026-03-31
35,Helios,9400.543900,0.115288,2026-01-01,2026-03-31
36,Navi,9007.334500,0.110466,2026-01-01,2026-03-31
37,NJ,6965.171100,0.085421,2026-01-01,2026-03-31
38,Trust,4252.956800,0.052158,2026-01-01,2026-03-31
39,Groww,4181.249500,0.051279,2026-01-01,2026-03-31
40,Quantum,3229.648100,0.039608,2026-01-01,2026-03-31
41,Abakkus,3129.471900,0.038380,2026-01-01,2026-03-31
42,Old Bridge,2566.097900,0.031471,2026-01-01,2026-03-31
43,Samco,2532.109100,0.031054,2026-01-01,2026-03-31
44,Unifi,1440.327200,0.017664,2026-01-01,2026-03-31
45,The Wealth Company,1403.721500,0.017215,2026-01-01,2026-03-31
46,Shriram,1255.481200,0.015397,2026-01-01,2026-03-31
47,Taurus,977.526600,0.011988,2026-01-01,2026-03-31
48,IL&FS,911.245400,0.011175,2026-01-01,2026-03-31
49,Capitalmind,472.114000,0.005790,2026-01-01,2026-03-31
50,Angel One,419.307300,0.005142,2026-01-01,2026-03-31
51,Choice,69.434900,0.000852,2026-01-01,2026-03-31
