rank,amc_name,aum_cr,yield_pct,estimated_revenue_cr,report_date,generated_at
1,SBI,1248003.01,0.75,9360.02,2026-03-31,2026-06-19 19:32:59
2,ICICI Prudential,1103751.32,0.75,8278.13,2026-03-31,2026-06-19 19:32:59
3,HDFC,927451.27,0.75,6955.88,2026-03-31,2026-06-19 19:32:59
4,Nippon India,724965.14,0.75,5437.24,2026-03-31,2026-06-19 19:32:59
5,Kotak Mahindra,580950.24,0.75,4357.13,2026-03-31,2026-06-19 19:32:59
6,Aditya Birla Sun Life,435865.96,0.75,3268.99,2026-03-31,2026-06-19 19:32:59
7,UTI,388469.81,0.75,2913.52,2026-03-31,2026-06-19 19:32:59
8,Axis,359601.25,0.75,2697.01,2026-03-31,2026-06-19 19:32:59
9,Tata,227511.98,0.75,1706.34,2026-03-31,2026-06-19 19:32:59
10,DSP,225399.63,0.75,1690.5,2026-03-31,2026-06-19 19:32:59
11,Mirae Asset,221354.56,0.75,1660.16,2026-03-31,2026-06-19 19:32:59
12,Bandhan,195325.09,0.75,1464.94,2026-03-31,2026-06-19 19:32:59
13,Edelweiss,165670.21,0.75,1242.53,2026-03-31,2026-06-19 19:32:59
14,PPFAS,152328.16,0.75,1142.46,2026-03-31,2026-06-19 19:32:59
15,Invesco,140647.77,0.75,1054.86,2026-03-31,2026-06-19 19:32:59
16,HSBC,136057.85,0.75,1020.43,2026-03-31,2026-06-19 19:32:59
17,Motilal Oswal,131741.95,0.75,988.06,2026-03-31,2026-06-19 19:32:59
18,Franklin Templeton,123574.21,0.75,926.81,2026-03-31,2026-06-19 19:32:59
19,Canara Robeco,117482.94,0.75,881.12,2026-03-31,2026-06-19 19:32:59
20,quant,88362.54,0.75,662.72,2026-03-31,2026-06-19 19:32:59
21,Sundaram,74882.97,0.75,561.62,2026-03-31,2026-06-19 19:32:59
22,Baroda BNP Paribas,54607.95,0.75,409.56,2026-03-31,2026-06-19 19:32:59
23,LIC,46461.19,0.75,348.46,2026-03-31,2026-06-19 19:32:59
24,Mahindra Manulife,33126.68,0.75,248.45,2026-03-31,2026-06-19 19:32:59
25,WhiteOak Capital,33023.59,0.75,247.68,2026-03-31,2026-06-19 19:32:59
26,Bajaj Finserv,30626.57,0.75,229.7,2026-03-31,2026-06-19 19:32:59
27,PGIM India,26401.19,0.75,198.01,2026-03-31,2026-06-19 19:32:59
28,Union,26194.06,0.75,196.46,2026-03-31,2026-06-19 19:32:59
29,Jio BlackRock,16711.52,0.75,125.34,2026-03-31,2026-06-19 19:32:59
30,Bank of India,14170.87,0.75,106.28,2026-03-31,2026-06-19 19:32:59
31,Zerodha,13793.01,0.75,103.45,2026-03-31,2026-06-19 19:32:59
32,JM Financial,13219.24,0.75,99.14,2026-03-31,2026-06-19 19:32:59
33,360 ONE,13193.88,0.75,98.95,2026-03-31,2026-06-19 19:32:59
34,ITI,10825.14,0.75,81.19,2026-03-31,2026-06-19 19:32:59
35,Helios,9400.54,0.75,70.5,2026-03-31,2026-06-19 19:32:59
36,Navi,9007.33,0.75,67.56,2026-03-31,2026-06-19 19:32:59
37,NJ,6965.17,0.75,52.24,2026-03-31,2026-06-19 19:32:59
38,Trust,4252.96,0.75,31.9,2026-03-31,2026-06-19 19:32:59
39,Groww,4181.25,0.75,31.36,2026-03-31,2026-06-19 19:32:59
40,Quantum,3229.65,0.75,24.22,2026-03-31,2026-06-19 19:32:59
41,Abakkus,3129.47,0.75,23.47,2026-03-31,2026-06-19 19:32:59
42,Old Bridge,2566.1,0.75,19.25,2026-03-31,2026-06-19 19:32:59
43,Samco,2532.11,0.75,18.99,2026-03-31,2026-06-19 19:32:59
44,Unifi,1440.33,0.75,10.8,2026-03-31,2026-06-19 19:32:59
45,The Wealth Company,1403.72,0.75,10.53,2026-03-31,2026-06-19 19:32:59
46,Shriram,1255.48,0.75,9.42,2026-03-31,2026-06-19 19:32:59
47,Taurus,977.53,0.75,7.33,2026-03-31,2026-06-19 19:32:59
48,IL&FS,911.25,0.75,6.83,2026-03-31,2026-06-19 19:32:59
49,Capitalmind,472.11,0.75,3.54,2026-03-31,2026-06-19 19:32:59
50,Angel One,419.31,0.75,3.14,2026-03-31,2026-06-19 19:32:59
51,Choice,69.43,0.75,0.52,2026-03-31,2026-06-19 19:32:59
